ID,Prioridade,Score PFC,Semáforo,Empresa/Grupo,Instituto/Fundação/Programa,Setor,Subsetor,Tipo de oportunidade,Modalidade de apoio,Valor mín. estimado,Valor máx. estimado,Valor alvo PFC,Status,Chance (%),Presença em municípios PFC,Municípios/Região estratégica,Cidade-sede/Unidade estratégica,UF,Público-alvo,Encaixe com PFC,Proposta PFC recomendada,Próxima ação,Responsável,Edital/Programa,Janela provável,Fonte/URL,Contato sugerido,E-mail/Canal,LinkedIn/Instagram,Observações,Chave de ranking (auxiliar - não excluir),Fonte verificada
11,A+,80,🟢,ENGIE Brasil,Edital de Educação ENGIE,Energia,Educação básica,Edital aberto/recorrente,Financeiro,10000,50000,30000,Edital,80,Possível,Projetos em educação básica,Florianópolis,SC,Educação básica,Fortalecimento da educação básica,Submeter projeto compacto por escola ou núcleo PFC,Checar critérios territoriais e prazo do edital 2026,Fábio,Edital de Educação 2026,2026 aberto/monitorar,https://www.engie.com.br/imprensa/press-releases/engie-e-parceiros-lancam-a-edicao-2026-do-edital-de-educacao/,Edital,Página do edital,LinkedIn ENGIE Brasil,Fonte indica apoio a pelo menos 50 iniciativas de R$ 10 mil.,80080989,Verificada
12,A+,79,🟡,Instituto Natura,Instituto Natura,Cosméticos,Educação/equidade,Edital/pesquisa/parceria,Financeiro + pesquisa aplicada,50000,200000,125000,Monitorar,74,Sim,Atuação nacional/SP,São Paulo,SP,Educação pública,"Inclusão educacional, equidade e pesquisa aplicada",PFC como caso de inclusão educacional e permanência,Monitorar editais com Todos Pela Educação/B3 Social,Fábio,Edital Índice de Inclusão Educacional,Anual/monitorar,https://todospelaeducacao.org.br/noticias/instituto-natura-todos-pela-educacao-b3-social-lancam-edital-para-impulsionar-pesquisas-sobre-inclusao-educacional-no-brasil/,Instituto/Edital,Página do edital,LinkedIn Instituto Natura,Boa para eixo de pesquisa e avaliação de impacto.,79074988,Verificada
13,A+,78,🟡,B3 Social,B3 Social,Mercado financeiro,Educação/equidade,Edital/parceria,Financeiro,50000,250000,150000,Monitorar,73,Sim,Atuação nacional/SP,São Paulo,SP,Projetos sociais,"Inclusão, educação, pesquisa aplicada",PFC como pipeline de mobilidade social e universidade pública,Monitorar editais e parcerias com institutos educacionais,Fábio,Editais de inclusão educacional,Anual/monitorar,https://www.b3.com.br/pt_br/b3/social/,B3 Social,Site institucional,LinkedIn B3,Alto potencial se houver indicadores sólidos.,78073987,Verificada
14,A+,76,🟡,Fundação Bradesco,Fundação Bradesco,Financeiro,Educação,Parceria de conteúdo,Cursos + certificação + financeiro,30000,150000,90000,Prospectar,71,Sim,Atuação nacional/SP,Osasco,SP,Estudantes e comunidade,"Cursos gratuitos, tecnologia e formação complementar",Integrar cursos online à trilha PFC Ensino Médio,Solicitar parceria de certificação e formação,Fábio,Escola Virtual/educação,Contínuo,https://www.ev.org.br/,Fundação,Site institucional,LinkedIn Fundação Bradesco,Bom para formação complementar sem custo.,76071986,Verificada
15,A+,75,🟡,Santander Universidades,Santander Universidades/Fundação Santander,Financeiro,Educação superior/bolsas,Edital/bolsas,Bolsas + cursos + financeiro,30000,150000,90000,Monitorar,70,Sim,Universidades públicas/SP,São Paulo,SP,Jovens e universitários,"Acesso à universidade, bolsas e formação","Trilha egressos PFC: bolsas, mentoria e inglês",Monitorar bolsas e editais Santander Open Academy,Fábio,Bolsas e capacitações,Contínuo,https://www.santanderopenacademy.com/pt_br/index.html,Programa,Plataforma,LinkedIn Santander Universidades,Útil para egressos e supervisores.,75070985,Verificada
16,A,74,🟡,Faber-Castell,Responsabilidade Social Faber-Castell,Material escolar,Educação/criatividade,Doação/parceria,Kits + oficinas,10000,80000,45000,Prospectar,69,Sim,Interior SP/educação básica,São Carlos,SP,Estudantes,"Material escolar, criatividade, expressão artística","Kits Cientista: caderno, lápis, material de pesquisa e artes",Solicitar doação anual para 800 alunos,Fábio,Doação de material,Volta às aulas,https://www.faber-castell.com.br/,SAC/Institucional,Site,LinkedIn Faber-Castell,Proposta concreta e fácil de entender.,74069984,Verificada
17,A,72,🟡,BIC Brasil,BIC,Material escolar,Educação,Doação,Kits escolares,10000,60000,35000,Prospectar,67,Sim,SP/Brasil,Cajamar,SP,Estudantes,Material escolar para permanência e autoestima,Kit PFC de escrita e estudo,Contato institucional para doação de produtos,Fábio,Doação de material,Volta às aulas,https://br.bic.com/,SAC/Institucional,Site,LinkedIn BIC,Boa para kits padronizados.,72067983,Verificada
18,A,72,🟡,Tilibra,Tilibra/ACCO Brands,Material escolar,Educação,Doação/patrocínio,Cadernos + agenda PFC,10000,70000,40000,Prospectar,67,Sim,Bauru/SP,Bauru,SP,Estudantes,Material escolar e organização de estudos,Caderno Projeto de Vida PFC personalizado,Propor co-branding em cadernos dos alunos,Fábio,Doação/co-branding,Volta às aulas,https://www.tilibra.com.br/,SAC/Marketing,Site,LinkedIn Tilibra,Ideal para identidade visual PFC.,72067982,Verificada
19,A,69,🟡,Jandaia,Jandaia,Material escolar,Educação,Doação,Cadernos,8000,50000,29000,Prospectar,64,Sim,SP/Brasil,São Paulo,SP,Estudantes,Material escolar básico,Cadernos PFC para micromonografias e projeto de vida,Contato via marketing institucional,Fábio,Doação de material,Volta às aulas,https://www.jandaia.com/,Marketing,Site,LinkedIn Jandaia,Parceria objetiva.,69064981,Verificada
20,A,68,🟡,Maped Brasil,Maped,Material escolar,Educação/criatividade,Doação,Kits criativos,8000,50000,29000,Prospectar,63,Sim,SP/Brasil,São Paulo,SP,Estudantes,"Criatividade, matemática, desenho científico",Kit de geometria e criatividade científica,Solicitar kits para escolas PFC,Fábio,Doação,Volta às aulas,https://www.maped.com/br/,SAC/Institucional,Site,LinkedIn Maped,Boa para matemática e ciência.,68063980,Verificada
21,A,67,🟡,Acrilex,Acrilex,Material artístico,Educação/arte,Doação/oficinas,Materiais + oficinas,8000,40000,24000,Prospectar,62,Sim,SP/Brasil,São Bernardo do Campo,SP,Estudantes,"Arte, criatividade, saúde mental e expressão",Oficinas de arte científica e expressão emocional,Propor oficinas no ERFC/PFC,Fábio,Doação/oficina,Contínuo,https://acrilex.com.br/,Institucional,Site,LinkedIn Acrilex,Complementa eixo psicossocial.,67062979,Verificada
22,A,76,🟡,Google for Education,Google,Tecnologia,Educação digital,Cursos/ferramentas,Capacitação + ferramentas,0,100000,50000,Prospectar,71,Sim,Nacional,São Paulo,SP,Alunos e educadores,"IA, ferramentas digitais, produtividade acadêmica",Certificação Google básica para supervisores e alunos,Buscar contato Google for Education Brasil,Fábio,Educação digital,Contínuo,https://edu.google.com/intl/pt-BR/,Programa,Site,LinkedIn Google for Education,Parceria pode ser não financeira.,76071978,Verificada
23,A,76,🟡,Microsoft Educação,Microsoft,Tecnologia,Educação digital/IA,Cursos/ferramentas,Capacitação + licenças,0,150000,75000,Prospectar,71,Sim,Nacional,São Paulo,SP,Alunos e educadores,"IA, Office, competências digitais",PFC IA para Estudantes: uso ético e produtivo de IA,Solicitar parceria via educação/filantropia,Fábio,Microsoft Learn/Education,Contínuo,https://www.microsoft.com/pt-br/education,Programa,Site,LinkedIn Microsoft Educação,Muito útil para trilha de IA.,76071977,Verificada
24,A,75,🟡,IBM SkillsBuild,IBM,Tecnologia,Formação profissional,Cursos/certificações,Cursos gratuitos + mentoria,0,100000,50000,Prospectar,70,Sim,Nacional,São Paulo,SP,Jovens e educadores,"IA, tecnologia, carreira e empregabilidade",Trilha PFC SkillsBuild para alunos do Ensino Médio,Cadastrar turmas/organizações parceiras,Fábio,IBM SkillsBuild,Contínuo,https://skillsbuild.org/pt-br,Programa,Site,LinkedIn IBM SkillsBuild,Baixo custo de implantação.,75070976,Verificada
25,A,73,🟡,Cisco Networking Academy,Cisco,Tecnologia,Formação técnica,Cursos/certificações,Cursos + certificação,0,100000,50000,Prospectar,68,Sim,Nacional,São Paulo,SP,Jovens,"Redes, segurança, carreira tecnológica",Trilha introdutória de redes e cibersegurança PFC,Buscar integração como academia/parceiro,Fábio,Networking Academy,Contínuo,https://www.netacad.com/pt-br,Programa,Site,LinkedIn Cisco Networking Academy,Boa para empregabilidade técnica.,73068975,Verificada
26,A,72,🟡,AWS Educate,Amazon Web Services,Tecnologia,Formação cloud,Cursos/créditos,Cursos + créditos cloud,0,100000,50000,Monitorar,67,Sim,Nacional,São Paulo,SP,Jovens e universitários,Computação em nuvem e carreira,Trilha PFC Cloud básica para egressos,Mapear critérios de acesso e criar turma piloto,Fábio,AWS Educate,Contínuo,https://aws.amazon.com/education/awseducate/,Programa,Site,LinkedIn AWS,Foco em egressos e supervisores.,72067974,Verificada
27,A,70,🟡,Oracle Academy,Oracle,Tecnologia,Educação tecnológica,Cursos/recursos,Cursos + materiais,0,100000,50000,Monitorar,65,Sim,Nacional,São Paulo,SP,Educadores e estudantes,"Banco de dados, programação e pensamento computacional",Clube de programação PFC,Solicitar adesão institucional,Fábio,Oracle Academy,Contínuo,https://academy.oracle.com/,Programa,Site,LinkedIn Oracle Academy,Aderente ao eixo tecnologia.,70065973,Verificada
28,A,78,🟡,SEBRAE,SEBRAE,Empreendedorismo/Educação,Empreendedorismo jovem,Parceria institucional,Cursos + eventos + visibilidade,0,100000,50000,Ativo,73,Sim,Sorocaba e região,Brasília/Sorocaba,DF/SP,"Jovens, educadores, empreendedores","Projeto de vida, empreendedorismo social, inovação",Trilha PFC Empreendedor Cientista,Aproveitar reconhecimento Educador Transformador para reunião formal,Fábio,Educação empreendedora,Contínuo,https://sebrae.com.br/,Unidade regional,Site,LinkedIn Sebrae,Parceria estratégica já aquecida.,78073972,Verificada
29,A,68,🟡,Arcos Dorados/McDonald's,Instituto/ESG Arcos Dorados,Fast food,Juventude/empregabilidade,Parceria/patrocínio,Financeiro + empregabilidade,30000,150000,90000,Prospectar,63,Sim,Sorocaba/SP,Barueri/São Paulo,SP,Jovens,"Primeiro emprego, protagonismo juvenil",PFC + trilha de empregabilidade para alunos e egressos,Mapear responsável ESG e lojas regionais,Fábio,Receita do Futuro/ESG,Contínuo,https://www.arcosdorados.com/brasil/,ESG/Comunicação,Site,LinkedIn Arcos Dorados,Boa aderência para egressos e Ensino Médio.,68063971,Verificada
30,A,62,🔴,Burger King Brasil,Zamp/ESG,Fast food,Juventude,Patrocínio local,Financeiro + cupons + eventos,15000,100000,58000,Prospectar,57,Sim,Sorocaba/SP,Barueri/São Paulo,SP,Jovens,"Engajamento, eventos, alimentação em encontros",Apoio alimentar em eventos e premiações PFC,Propor patrocínio regional via lojas,Fábio,ESG/local store marketing,Contínuo,https://www.burgerking.com.br/,Marketing/ESG,Site,LinkedIn Zamp,Mais útil como apoio local.,62057970,Verificada
31,A,70,🟡,Nestlé Brasil,Instituto/ESG Nestlé,Alimentos,Nutrição/juventude,Parceria/patrocínio,Financeiro + alimentação,30000,200000,115000,Prospectar,65,Sim,SP/Brasil,São Paulo,SP,Crianças e jovens,"Nutrição, educação e qualidade de vida",PFC Alimenta o Futuro: lanche + educação nutricional,"Propor eixo nutrição, saúde mental e aprendizagem",Fábio,Criação de valor compartilhado,Contínuo,https://www.nestle.com.br/,Institucional/ESG,Site,LinkedIn Nestlé,Unir alimentação e desempenho escolar.,70065969,Verificada
32,A,67,🟡,Danone Brasil,Instituto/ESG Danone,Alimentos,Nutrição/saúde,Parceria/patrocínio,Financeiro + produtos,20000,150000,85000,Prospectar,62,Sim,SP/Brasil,São Paulo,SP,Crianças e jovens,"Nutrição, saúde e educação",Lanches saudáveis para encontros PFC + oficinas,Mapear ESG Danone e propor piloto,Fábio,ESG/nutrição,Contínuo,https://www.danone.com.br/,Institucional/ESG,Site,LinkedIn Danone,Boa para saúde e aprendizagem.,67062968,Verificada
33,A,69,🟡,Instituto Arcor Brasil,Instituto Arcor,Alimentos,Infância/educação,Edital/parceria,Financeiro + produtos,20000,100000,60000,Monitorar,64,Sim,SP/Brasil,Rio das Pedras,SP,Crianças e adolescentes,"Educação, infância e desenvolvimento integral","PFC Módulo I: permanência, ciência e projeto de vida",Monitorar chamadas e enviar apresentação institucional,Fábio,Apoio a projetos infância,Anual/monitorar,https://www.institutoarcor.org.br/,Instituto,Site,LinkedIn Arcor,Aderência direta com infância/adolescência.,69064967,Verificada
34,A,70,🟡,Tauste Supermercados,Tauste/Responsabilidade Social,Varejo alimentar,Comunidade local,Patrocínio local,Financeiro + alimentação,10000,80000,45000,Prospectar,65,Sim,Sorocaba/região,Marília/Sorocaba,SP,Comunidade escolar,"Apoio local, alimentação, eventos",Cota regional para eventos PFC e kits de permanência,Procurar gerência regional Sorocaba,Fábio,Responsabilidade social local,Contínuo,https://www.tauste.com.br/,Gerência/Marketing,Site,Instagram Tauste,Muito bom para ativação local.,70065966,Verificada
35,A,63,🔴,GPA/Pão de Açúcar,Instituto GPA/ESG,Varejo alimentar,Educação/comunidade,Patrocínio local,Financeiro + alimentos,15000,100000,58000,Prospectar,58,Sim,SP/Brasil,São Paulo,SP,Jovens e comunidade,"Eventos, kits, alimentação e voluntariado",Apoio a eventos científicos e alimentação dos encontros,Contato ESG e lojas regionais,Fábio,ESG/varejo,Contínuo,https://www.gpabr.com/,ESG/Comunicação,Site,LinkedIn GPA,Apoio local e nacional.,63058965,Verificada
36,A,66,🟡,Klabin,Instituto/ESG Klabin,Papel e celulose,Educação/sustentabilidade,Parceria/patrocínio,Financeiro + material,30000,150000,90000,Prospectar,61,Possível,Interior SP/PR,São Paulo,SP,Comunidades e escolas,"Educação ambiental, ciência e sustentabilidade",PFC Ciência e Sustentabilidade: micromonografias ambientais,Enviar proposta vinculada a ODS e educação ambiental,Fábio,Investimento social privado,Contínuo,https://klabin.com.br/sustentabilidade/social,ESG,Site,LinkedIn Klabin,Bom para meio ambiente e ciência.,66061964,Verificada
37,A,66,🟡,Suzano,Instituto/ESG Suzano,Papel e celulose,Educação/sustentabilidade,Parceria/patrocínio,Financeiro + material,30000,200000,115000,Prospectar,61,Possível,SP/Brasil,São Paulo,SP,Comunidades e escolas,"Educação, sustentabilidade e desenvolvimento territorial",PFC Sustentabilidade Científica,Mapear territórios e editais sociais,Fábio,ESG/instituto,Contínuo,https://www.suzano.com.br/sustentabilidade/,ESG,Site,LinkedIn Suzano,"Alto valor, depende de território.",66061963,Verificada
38,A,67,🟡,Toyota do Brasil,Fundação Toyota do Brasil,Automotivo,Educação/sustentabilidade,Parceria/patrocínio,Financeiro + voluntariado,30000,200000,115000,Prospectar,62,Sim,Sorocaba/Porto Feliz/Indaiatuba,Sorocaba,SP,Jovens e comunidade,"Projeto de vida, tecnologia, sustentabilidade","PFC Mobilidade do Futuro: ciência, carreira e universidade",Contato com unidade Sorocaba e Fundação Toyota,Fábio,Fundação/ESG,Contínuo,https://fundacaotoyota.com.br/,Fundação/ESG local,Site,LinkedIn Toyota Brasil,Presença territorial muito relevante.,67062962,Verificada
39,A,62,🔴,Honda Brasil,Instituto/ESG Honda,Automotivo,Educação/comunidade,Patrocínio local,Financeiro + visitas técnicas,20000,150000,85000,Prospectar,57,Sim,Itirapina/Sumaré/Sorocaba região,Sumaré,SP,Jovens,"Tecnologia, engenharia, projeto de vida",Visita técnica + mentoria de carreira STEM,Mapear unidade e área de sustentabilidade,Fábio,ESG/comunidade,Contínuo,https://www.honda.com.br/,Sustentabilidade,Site,LinkedIn Honda Brasil,Bom para engenharia.,62057961,Verificada
40,A,68,🟡,Bosch Brasil,Instituto Robert Bosch/ESG,Tecnologia/autopeças,Educação técnica/STEM,Parceria/patrocínio,Financeiro + mentoria,30000,200000,115000,Prospectar,63,Sim,Campinas/Itu/Sorocaba,Campinas,SP,Jovens,"Tecnologia, ciência aplicada, indústria 4.0",PFC Indústria 4.0 para jovens de escola pública,Solicitar reunião com responsabilidade social/treinamento,Fábio,ESG/formação técnica,Contínuo,https://www.bosch.com.br/,ESG/RH,Site,LinkedIn Bosch Brasil,Aderência com STEM e empregabilidade.,68063960,Verificada
41,A,65,🟡,TOTVS,Instituto/ESG TOTVS,Software,Educação tecnológica,Parceria/cursos,Cursos + financeiro,10000,150000,80000,Prospectar,60,Sim,SP/Brasil,São Paulo,SP,Jovens,"Tecnologia, programação e carreira",Clube PFC de tecnologia e dados,Mapear TOTVS Techfin/ESG/educação,Fábio,ESG/educação tech,Contínuo,https://www.totvs.com/,ESG/Institucional,Site,LinkedIn TOTVS,Boa para tecnologia aplicada.,65060959,Verificada
42,A,66,🟡,Lenovo Brasil,Lenovo Foundation/ESG,Tecnologia,Inclusão digital,Doação/parceria,Equipamentos + cursos,30000,200000,115000,Prospectar,61,Sim,Indaiatuba/SP,Indaiatuba,SP,Estudantes,"Equipamentos, inclusão digital, STEM",Laboratório PFC Digital com notebooks recondicionados,Contato unidade Indaiatuba e ESG,Fábio,ESG/inclusão digital,Contínuo,https://www.lenovo.com/br/pt/,ESG/Comunicação,Site,LinkedIn Lenovo Brasil,Presença territorial forte.,66061958,Verificada
43,A,63,🔴,Positivo Tecnologia,Instituto/ESG Positivo,Tecnologia educacional,Educação digital,Parceria/equipamentos,Equipamentos + plataforma,20000,150000,85000,Prospectar,58,Sim,SP/Brasil,Curitiba,PR,Escolas públicas,"Tecnologia educacional, computadores e tablets",Sala PFC Digital para pesquisa e projeto de vida,Propor piloto de laboratório compacto,Fábio,Tecnologia educacional,Contínuo,https://www.positivotecnologia.com.br/,ESG/Marketing,Site,LinkedIn Positivo Tecnologia,Boa para equipamentos.,63058957,Verificada
44,B,58,🔴,PepsiCo Brasil,Fundação/ESG PepsiCo,Alimentos/bebidas,Comunidade/juventude,Patrocínio/produtos,Produtos + financeiro,15000,100000,58000,Prospectar,53,Sim,SP/Brasil,São Paulo,SP,Jovens,"Eventos, alimentação, voluntariado",Apoio a eventos e kits de permanência,Contato com ESG/marketing social,Fábio,ESG/comunidade,Contínuo,https://www.pepsico.com.br/,ESG/Comunicação,Site,LinkedIn PepsiCo Brasil,Mais adequado para eventos.,58053956,Verificada
45,B,60,🔴,Ambev,Instituto/ESG Ambev,Bebidas,Empreendedorismo/educação,Parceria/patrocínio,Financeiro + mentoria,20000,150000,85000,Prospectar,55,Sim,SP/Brasil,São Paulo,SP,Jovens,"Empreendedorismo, carreira, impacto social",PFC Jovem Protagonista: carreira e projeto de vida,Mapear áreas de impacto social e voluntariado,Fábio,ESG/empreendedorismo,Contínuo,https://www.ambev.com.br/,ESG/Comunicação,Site,LinkedIn Ambev,Evitar foco em bebida alcoólica; focar juventude/educação.,60055955,Verificada
46,B,57,🔴,Cacau Show,Instituto Cacau Show,Alimentos/varejo,Educação/comunidade,Patrocínio/produtos,Produtos + financeiro,10000,80000,45000,Prospectar,52,Sim,Itapevi/SP,Itapevi,SP,Crianças e jovens,"Eventos, reconhecimento, voluntariado",Premiação PFC: kits e apoio a alunos destaque,Contato institucional/lojas regionais,Fábio,Instituto/ESG,Contínuo,https://www.cacaushow.com.br/,Instituto/Marketing,Site,LinkedIn Cacau Show,Boa para premiações e eventos.,57052954,Verificada
47,B,56,🔴,Bauducco,Bauducco/ESG,Alimentos,Comunidade/infância,Doação/produtos,Lanches + financeiro,10000,70000,40000,Prospectar,51,Sim,SP/Brasil,São Paulo,SP,Estudantes,Alimentação em encontros e eventos,Lanche PFC em eventos regionais,Solicitar doação para eventos e ERFC,Fábio,Doação de alimentos,Eventos,https://www.bauducco.com.br/,SAC/Institucional,Site,LinkedIn Bauducco,Apoio operacional.,56051953,Verificada
48,B,54,🔴,Mondelez Brasil,Mondelez/ESG,Alimentos,Comunidade,Doação/produtos,Produtos,8000,60000,34000,Prospectar,49,Sim,SP/Brasil,São Paulo,SP,Jovens,Eventos e kits,Apoio alimentar para encontros e premiações,Contato institucional,Fábio,ESG/doações,Contínuo,https://www.mondelezinternational.com/,ESG,Site,LinkedIn Mondelez,Menor aderência educacional.,54049952,Verificada
49,B,61,🔴,Magazine Luiza,Magalu/Instituto,Varejo/tecnologia,Inclusão digital/social,Patrocínio/parceria,Financeiro + tecnologia,20000,150000,85000,Prospectar,56,Sim,SP/Brasil,Franca/São Paulo,SP,Jovens e mulheres,"Tecnologia, inclusão digital e varejo","PFC Digital: equipamentos, mentorias e e-commerce social",Mapear instituto/ESG e lojas regionais,Fábio,ESG/inclusão digital,Contínuo,https://www.magazineluiza.com.br/,ESG/Instituto,Site,LinkedIn Magalu,Pode apoiar equipamentos e visibilidade.,61056951,Verificada
50,B,62,🔴,Mercado Livre,Meli/ESG,Tecnologia/e-commerce,Educação/empreendedorismo,Parceria/cursos,Cursos + financeiro,20000,150000,85000,Prospectar,57,Sim,Cajamar/SP e região,São Paulo,SP,Jovens,"Logística, empreendedorismo, tecnologia","PFC Mercado do Futuro: carreira, dados e logística",Propor mentoria e visita técnica,Fábio,ESG/educação,Contínuo,https://www.mercadolivre.com.br/,ESG/Comunicação,Site,LinkedIn Mercado Livre,Boa para carreira e logística.,62057950,Verificada
51,B,60,🔴,iFood,Instituto/ESG iFood,Tecnologia/logística,Educação/empregabilidade,Cursos/parceria,Cursos + financeiro,10000,120000,65000,Prospectar,55,Sim,Osasco/São Paulo,Osasco,SP,Jovens,"Tecnologia, trabalho, logística, renda",Trilha PFC de tecnologia e empregabilidade,Contato ESG/Instituto iFood,Fábio,Educação/empregabilidade,Contínuo,https://institutoifood.org.br/,Instituto,Site,LinkedIn iFood,Adequado para Ensino Médio e egressos.,60055949,Verificada
